graph_id,source_node_id,destination_node_id
1,0,1
1,0,6
1,1,2
1,1,4
1,1,5
1,1,8
1,2,4
1,2,6
1,2,7
1,2,8
1,2,9
1,3,9
1,4,6
1,4,8
1,5,9
1,6,7
1,7,8
1,7,9
2,0,1
2,0,2
2,0,8
2,1,3
2,1,7
2,2,3
2,2,4
2,2,5
2,2,7
2,2,8
2,2,9
2,3,6
2,3,8
2,4,5
2,4,6
2,4,8
2,5,9
2,6,9
3,0,3
3,1,2
3,1,4
3,1,5
3,1,6
3,1,8
3,1,9
3,2,3
3,2,4
3,2,5
3,2,8
3,3,5
3,3,8
3,3,9
3,4,5
3,4,8
3,5,6
3,5,7
3,6,7
3,6,8
3,6,9
3,7,8
4,0,4
4,0,5
4,0,6
4,0,7
4,1,2
4,1,6
4,1,9
4,2,4
4,2,5
4,2,6
4,2,8
4,2,9
4,3,4
4,3,5
4,3,8
4,4,8
4,4,9
4,5,6
4,5,7
4,5,9
4,6,7
4,6,9
4,7,9
4,8,9
5,0,1
5,0,2
5,0,8
5,1,2
5,1,6
5,1,7
5,1,8
5,1,9
5,2,5
5,2,6
5,3,6
5,3,7
5,3,9
5,4,5
5,4,9
5,5,6
5,5,7
5,5,9
5,6,9
5,7,8
6,0,2
6,0,3
6,0,6
6,0,8
6,0,9
6,1,3
6,1,4
6,1,7
6,1,8
6,2,6
6,2,7
6,2,9
6,4,6
6,4,8
6,4,9
6,5,8
6,5,9
6,6,7
6,8,9
7,0,3
7,0,5
7,0,6
7,1,2
7,1,6
7,1,7
7,1,9
7,2,3
7,2,5
7,2,7
7,2,8
7,2,9
7,3,4
7,3,5
7,3,7
7,4,5
7,4,6
7,4,7
7,4,9
7,5,6
7,5,7
7,6,8
7,7,9
7,8,9
8,0,2
8,0,4
8,0,5
8,0,6
8,0,7
8,0,8
8,1,3
8,1,5
8,1,6
8,1,7
8,1,9
8,2,7
8,3,4
8,3,6
8,3,7
8,3,8
8,3,9
8,4,6
8,4,8
8,5,6
8,5,7
8,6,7
8,6,9
9,0,1
9,0,3
9,0,4
9,0,5
9,1,4
9,1,5
9,1,6
9,2,3
9,2,8
9,2,9
9,3,6
9,3,8
9,3,9
9,4,5
9,4,6
9,4,9
9,5,7
9,6,8
9,6,9
9,7,8
10,0,3
10,0,4
10,0,5
10,0,6
10,0,8
10,1,5
10,1,7
10,1,8
10,2,4
10,2,5
10,2,6
10,2,8
10,2,9
10,3,4
10,3,6
10,3,9
10,4,5
10,4,6
10,5,9
10,6,9
10,7,8
10,8,9
11,0,1
11,0,2
11,0,4
11,0,5
11,0,6
11,1,2
11,1,3
11,1,4
11,1,6
11,1,8
11,2,3
11,2,5
11,2,6
11,2,8
11,3,4
11,3,5
11,3,9
11,4,8
11,5,9
11,6,7
11,6,9
11,7,9
11,8,9
12,0,1
12,0,2
12,0,4
12,0,6
12,0,8
12,0,9
12,1,4
12,1,5
12,1,7
12,1,8
12,2,3
12,2,4
12,2,6
12,2,7
12,2,8
12,2,9
12,3,5
12,3,6
12,3,8
12,3,9
12,4,7
12,5,6
12,5,7
12,6,7
12,7,8
12,7,9
12,8,9
13,0,1
13,0,2
13,0,3
13,0,7
13,0,9
13,1,2
13,1,4
13,1,7
13,1,8
13,2,3
13,2,4
13,2,6
13,2,8
13,3,6
13,3,8
13,4,6
13,4,9
13,5,9
13,6,8
13,7,8
13,8,9
14,0,3
14,0,4
14,0,6
14,0,7
14,0,9
14,1,4
14,2,3
14,2,4
14,2,5
14,2,6
14,2,9
14,3,8
14,3,9
14,4,5
14,4,6
14,4,9
14,5,9
14,6,8
14,6,9
14,7,8
14,7,9
15,0,1
15,0,3
15,0,4
15,0,7
15,0,9
15,1,3
15,1,6
15,1,7
15,1,9
15,2,7
15,2,8
15,3,4
15,4,5
15,4,8
15,5,6
15,5,8
15,6,8
15,6,9
15,7,9
16,0,1
16,0,2
16,0,4
16,0,6
16,0,8
16,1,6
16,1,7
16,2,3
16,2,4
16,2,5
16,2,7
16,2,9
16,3,4
16,3,5
16,3,9
16,4,5
16,4,9
16,5,6
16,5,9
16,6,7
16,6,8
16,6,9
17,0,1
17,0,2
17,0,4
17,0,7
17,0,9
17,1,3
17,1,4
17,1,5
17,1,7
17,1,9
17,2,6
17,2,8
17,2,9
17,3,9
17,4,7
17,4,8
17,4,9
17,5,7
17,5,8
17,6,7
17,7,8
18,0,3
18,0,5
18,0,8
18,1,3
18,1,4
18,1,6
18,1,7
18,1,9
18,2,4
18,2,5
18,2,7
18,2,9
18,3,4
18,3,5
18,3,8
18,6,7
18,6,8
18,7,9
18,8,9
19,0,3
19,0,5
19,0,7
19,0,9
19,1,2
19,1,5
19,1,6
19,1,9
19,2,3
19,2,7
19,2,8
19,3,7
19,3,8
19,4,8
19,4,9
19,5,6
19,5,7
19,5,9
19,6,7
19,6,9
19,7,9
20,0,2
20,0,7
20,0,9
20,1,3
20,1,4
20,1,6
20,2,3
20,2,4
20,2,5
20,2,6
20,2,9
20,3,5
20,3,6
20,3,9
20,4,5
20,4,7
20,4,8
20,5,6
20,5,7
20,5,8
20,5,9
20,6,7
20,7,8
21,0,3
21,0,7
21,0,8
21,1,3
21,1,4
21,1,6
21,1,7
21,1,8
21,1,9
21,2,3
21,2,4
21,2,9
21,3,4
21,3,7
21,4,6
21,5,6
21,5,8
21,5,9
21,6,7
21,7,8
22,0,1
22,0,3
22,0,6
22,1,6
22,1,7
22,1,8
22,1,9
22,2,4
22,2,6
22,3,4
22,3,5
22,3,7
22,4,5
22,4,6
22,4,7
22,4,8
22,4,9
22,5,6
22,5,8
22,6,9
22,7,9
22,8,9
23,0,1
23,0,4
23,0,5
23,0,7
23,0,8
23,1,5
23,1,6
23,1,7
23,1,9
23,2,3
23,2,4
23,2,5
23,2,9
23,3,6
23,3,7
23,3,8
23,3,9
23,4,6
23,4,8
24,0,1
24,0,3
24,0,6
24,0,7
24,1,2
24,1,4
24,1,6
24,1,8
24,1,9
24,2,3
24,2,8
24,3,7
24,3,8
24,3,9
24,4,8
24,4,9
24,5,6
24,5,7
24,5,8
24,6,7
24,7,8
25,0,1
25,0,2
25,0,3
25,0,4
25,0,5
25,0,7
25,1,6
25,1,8
25,1,9
25,2,3
25,2,5
25,2,9
25,3,4
25,3,6
25,3,7
25,4,5
25,4,8
25,4,9
25,5,6
25,6,8
25,7,8
25,8,9
26,0,2
26,0,5
26,0,6
26,0,8
26,1,2
26,1,3
26,1,4
26,1,5
26,1,7
26,2,3
26,2,4
26,2,5
26,2,8
26,2,9
26,3,4
26,3,5
26,3,7
26,3,9
26,4,6
26,5,6
26,5,7
26,6,8
27,0,5
27,0,7
27,0,8
27,0,9
27,1,2
27,2,4
27,2,5
27,2,6
27,2,9
27,3,5
27,3,7
27,3,8
27,3,9
27,4,5
27,4,8
27,5,7
27,5,8
27,6,7
27,6,8
27,7,8
28,0,1
28,0,2
28,0,4
28,0,5
28,0,8
28,0,9
28,1,5
28,1,6
28,1,7
28,1,8
28,2,3
28,2,5
28,3,4
28,3,8
28,4,5
28,4,6
28,4,7
28,5,6
28,5,7
28,5,9
