graph_id,node_id,node_label
1,0,2
1,1,7
1,2,14
1,3,6
1,4,11
1,5,5
1,6,4
1,7,15
1,8,12
1,9,10
1,10,1
1,11,18
1,12,9
1,13,3
1,14,17
1,15,8
1,16,19
1,17,16
1,18,0
1,19,13
2,0,9
2,1,14
2,2,11
2,3,13
2,4,10
2,5,15
2,6,7
2,7,4
2,8,0
2,9,8
2,10,2
2,11,16
2,12,1
2,13,6
2,14,19
2,15,12
2,16,17
2,17,5
2,18,18
2,19,3
3,0,12
3,1,3
3,2,8
3,3,14
3,4,4
3,5,15
3,6,10
3,7,5
3,8,7
3,9,19
3,10,1
3,11,2
3,12,6
3,13,13
3,14,9
3,15,0
3,16,16
3,17,11
3,18,17
3,19,18
4,0,9
4,1,1
4,2,14
4,3,6
4,4,0
4,5,15
4,6,11
4,7,16
4,8,17
4,9,8
4,10,12
4,11,10
4,12,13
4,13,7
4,14,18
4,15,19
4,16,5
4,17,3
4,18,4
4,19,2
5,0,14
5,1,15
5,2,0
5,3,3
5,4,5
5,5,8
5,6,6
5,7,11
5,8,12
5,9,19
5,10,16
5,11,10
5,12,2
5,13,17
5,14,18
5,15,13
5,16,1
5,17,7
5,18,9
5,19,4
6,0,12
6,1,13
6,2,10
6,3,1
6,4,9
6,5,19
6,6,0
6,7,4
6,8,3
6,9,14
6,10,7
6,11,15
6,12,16
6,13,8
6,14,17
6,15,2
6,16,18
6,17,11
6,18,6
6,19,5
7,0,5
7,1,12
7,2,2
7,3,7
7,4,14
7,5,4
7,6,19
7,7,15
7,8,1
7,9,0
7,10,3
7,11,8
7,12,16
7,13,17
7,14,11
7,15,6
7,16,10
7,17,18
7,18,13
7,19,9
8,0,18
8,1,5
8,2,15
8,3,12
8,4,17
8,5,3
8,6,1
8,7,6
8,8,7
8,9,9
8,10,2
8,11,0
8,12,11
8,13,14
8,14,13
8,15,4
8,16,19
8,17,8
8,18,10
8,19,16
9,0,6
9,1,14
9,2,5
9,3,13
9,4,9
9,5,15
9,6,0
9,7,1
9,8,3
9,9,10
9,10,16
9,11,12
9,12,4
9,13,17
9,14,11
9,15,7
9,16,8
9,17,19
9,18,2
9,19,18
10,0,7
10,1,6
10,2,2
10,3,5
10,4,10
10,5,0
10,6,13
10,7,15
10,8,14
10,9,19
10,10,1
10,11,3
10,12,8
10,13,12
10,14,4
10,15,16
10,16,9
10,17,17
10,18,11
10,19,18
11,0,16
11,1,4
11,2,12
11,3,8
11,4,15
11,5,19
11,6,7
11,7,6
11,8,10
11,9,0
11,10,14
11,11,17
11,12,13
11,13,18
11,14,11
11,15,5
11,16,3
11,17,2
11,18,9
11,19,1
12,0,1
12,1,2
12,2,15
12,3,4
12,4,3
12,5,16
12,6,0
12,7,17
12,8,19
12,9,11
12,10,7
12,11,9
12,12,5
12,13,18
12,14,6
12,15,10
12,16,8
12,17,12
12,18,13
12,19,14
13,0,9
13,1,8
13,2,4
13,3,14
13,4,15
13,5,19
13,6,1
13,7,12
13,8,3
13,9,0
13,10,16
13,11,5
13,12,2
13,13,13
13,14,6
13,15,17
13,16,10
13,17,11
13,18,18
13,19,7
14,0,0
14,1,13
14,2,10
14,3,14
14,4,5
14,5,11
14,6,2
14,7,9
14,8,8
14,9,4
14,10,15
14,11,12
14,12,7
14,13,6
14,14,19
14,15,3
14,16,16
14,17,17
14,18,1
14,19,18
15,0,1
15,1,12
15,2,5
15,3,4
15,4,6
15,5,19
15,6,14
15,7,8
15,8,3
15,9,11
15,10,13
15,11,2
15,12,18
15,13,16
15,14,15
15,15,9
15,16,0
15,17,17
15,18,10
15,19,7
16,0,12
16,1,13
16,2,14
16,3,0
16,4,1
16,5,8
16,6,3
16,7,4
16,8,7
16,9,15
16,10,16
16,11,5
16,12,17
16,13,2
16,14,9
16,15,6
16,16,18
16,17,11
16,18,10
16,19,19
17,0,19
17,1,3
17,2,6
17,3,9
17,4,8
17,5,2
17,6,12
17,7,15
17,8,13
17,9,5
17,10,11
17,11,16
17,12,4
17,13,0
17,14,17
17,15,10
17,16,14
17,17,1
17,18,7
17,19,18
18,0,12
18,1,15
18,2,10
18,3,9
18,4,8
18,5,11
18,6,7
18,7,13
18,8,16
18,9,4
18,10,17
18,11,18
18,12,19
18,13,0
18,14,5
18,15,1
18,16,6
18,17,2
18,18,14
18,19,3
19,0,19
19,1,12
19,2,0
19,3,14
19,4,2
19,5,5
19,6,3
19,7,6
19,8,8
19,9,10
19,10,11
19,11,9
19,12,15
19,13,4
19,14,1
19,15,16
19,16,17
19,17,13
19,18,18
19,19,7
20,0,6
20,1,7
20,2,14
20,3,15
20,4,16
20,5,1
20,6,9
20,7,5
20,8,12
20,9,13
20,10,2
20,11,0
20,12,4
20,13,19
20,14,17
20,15,11
20,16,10
20,17,3
20,18,18
20,19,8
21,0,14
21,1,2
21,2,15
21,3,16
21,4,4
21,5,17
21,6,0
21,7,8
21,8,3
21,9,12
21,10,7
21,11,10
21,12,6
21,13,9
21,14,1
21,15,13
21,16,18
